iter	RMSE
0	14.25191141
1	13.32894296
2	12.54140873
3	11.78073423
4	11.09316516
5	10.56043267
6	10.03765333
7	9.593228536
8	9.150572538
9	8.7477313
10	8.383790376
11	8.086189008
12	7.836590132
13	7.606860856
14	7.363940925
15	7.123844829
16	6.933242308
17	6.7614852
18	6.594014429
19	6.449278079
20	6.338050319
21	6.233437155
22	6.105407375
23	5.997925825
24	5.91982348
25	5.85302151
26	5.785265594
27	5.737555443
28	5.686959741
29	5.627518779
30	5.571006135
31	5.52935666
32	5.483996155
33	5.451179536
34	5.414188328
35	5.386874208
36	5.357965657
37	5.334014897
38	5.312071787
39	5.287945653
40	5.273086194
41	5.254639243
42	5.237095388
43	5.224848659
44	5.210840856
45	5.190125939
46	5.170928884
47	5.157373651
48	5.143331676
49	5.123400614
50	5.103634659
51	5.081593934
52	5.072337589
53	5.064188566
54	5.05431185
55	5.044514678
56	5.029729424
57	5.004465135
58	4.987621578
59	4.980811537
60	4.966887715
61	4.954499268
62	4.940890995
63	4.922306846
64	4.917452161
65	4.896364587
66	4.882376151
67	4.867935885
68	4.863664203
69	4.857552118
70	4.845310527
71	4.839278489
72	4.82858756
73	4.81983158
74	4.800127474
75	4.788219002
76	4.785156595
77	4.781369443
78	4.770557662
79	4.768778845
80	4.760716416
81	4.755680288
82	4.750857406
83	4.743418262
84	4.737717929
85	4.723934792
86	4.719391035
87	4.707313329
88	4.698173283
89	4.692052288
90	4.682243861
91	4.676735488
92	4.66439554
93	4.657943975
94	4.652159038
95	4.640214161
96	4.625459427
97	4.616583916
98	4.609081922
99	4.6075795
