iter	Passed	Remaining
0	1	161
1	2	139
2	4	130
3	5	124
4	6	123
5	7	117
6	8	115
7	9	111
8	10	106
9	11	102
10	12	98
11	12	94
12	13	92
13	14	89
14	15	86
15	16	84
16	16	82
17	17	81
18	18	79
19	19	77
20	20	76
21	21	74
22	21	73
23	22	72
24	23	71
25	24	71
26	26	71
27	27	70
28	28	68
29	29	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
